"edu_FM" "labour_FM" "edu_exp" "life_exp" "GNI" "mat_mort_ratio" "adol_birthrate" "rep_parliament"
"Norway" 1.00723888314374 61.2 17.5 81.6 64992 4 7.8 39.6
"Australia" 0.996828752642706 58.8 20.2 82.4 42261 6 12.1 30.5
"Switzerland" 0.98343685300207 61.8 15.8 83 56431 6 1.9 28.5
"Denmark" 0.988612836438924 58.7 18.7 80.2 44025 5 5.1 38
"Netherlands" 0.969060773480663 58.5 17.9 81.6 45435 6 6.2 36.9
"Germany" 0.992783505154639 53.6 16.5 80.9 43919 7 3.8 36.9
"Ireland" 1.02417302798982 53.1 18.6 80.9 39568 9 8.2 19.9
"United States" 1.00316455696203 56.3 16.5 79.1 52947 28 31 19.4
"Canada" 1 61.6 15.9 82 42155 11 14.5 28.2
"New Zealand" 0.99685204616999 62 19.2 81.8 32689 8 25.3 31.4
"Singapore" 0.914814814814815 58.8 15.4 83 76628 6 6 25.3
"Sweden" 0.990836197021764 60.3 15.8 82.2 45636 4 6.5 43.6
"United Kingdom" 0.998998998998999 55.7 16.2 80.7 39267 8 25.8 23.5
"Iceland" 0.993449781659389 70.5 19 82.6 35182 4 11.5 41.3
"Korea (Republic of)" 0.864197530864198 50.1 16.9 81.9 33890 27 2.2 16.3
"Israel" 0.966781214203895 57.9 16 82.4 30676 2 7.8 22.5
"Luxembourg" 1 50.7 13.9 81.7 58711 11 8.3 28.3
"Japan" 1.01398601398601 48.8 15.3 83.5 36927 6 5.4 11.6
"Belgium" 0.934861278648975 47.5 16.3 80.8 41187 6 6.7 42.4
"France" 0.9375 50.7 16 82.2 38056 12 5.7 25.7
"Austria" 1 54.6 15.7 81.4 43869 4 4.1 30.3
"Finland" 1 55.7 17.1 80.8 38695 4 9.2 42.5
"Slovenia" 0.977551020408163 52.3 16.8 80.4 27852 7 0.6 27.7
"Spain" 0.913816689466484 52.5 17.3 82.6 32045 4 10.6 38
"Italy" 0.884472049689441 39.6 16 83.1 33030 4 4 30.1
"Czech Republic" 1.00200601805416 51.1 16.4 78.6 26660 5 4.9 18.9
"Greece" 0.888059701492537 44.2 17.6 80.9 24524 5 11.9 21
"Estonia" 1 56.2 16.5 76.8 25214 11 16.8 19.8
"Cyprus" 0.930232558139535 56 14 80.2 28633 10 5.5 12.5
"Qatar" 1.13050847457627 50.8 13.8 78.2 123124 6 9.5 0
"Slovakia" 0.995979899497487 51.1 15.1 76.3 25845 7 15.9 18.7
"Poland" 0.928654970760234 48.9 15.5 77.4 23177 3 12.2 22.1
"Lithuania" 0.944856839872746 55.8 16.4 73.3 24500 11 10.6 23.4
"Malta" 0.877237851662404 37.9 14.4 80.6 27930 9 18.2 13
"Saudi Arabia" 0.860597439544808 20.2 16.3 74.3 52821 16 10.2 19.9
"Argentina" 0.977430555555555 47.5 17.9 76.3 22050 69 54.4 36.8
"United Arab Emirates" 1.19444444444444 46.5 13.3 77 60868 8 27.6 17.5
"Chile" 0.959424083769633 49.2 15.2 81.7 21290 22 55.3 15.8
"Portugal" 0.989626556016598 54.9 16.3 80.9 25757 8 12.6 31.3
"Hungary" 0.991894630192503 44.8 15.4 75.2 22916 14 12.1 10.1
"Bahrain" 1.10311284046693 39.2 14.4 76.6 38599 22 13.8 15
"Latvia" 0.998989898989899 54.9 15.2 74.2 22281 13 13.5 18
"Croatia" 0.908119658119658 44.7 14.8 77.3 19409 13 12.7 25.8
"Kuwait" 0.987566607460036 43.6 14.7 74.4 83961 14 14.5 1.5
"Montenegro" 0.889123548046463 43 15.2 76.2 14558 7 15.2 17.3
"Belarus" 0.943600867678959 50.1 15.7 71.3 16676 1 20.6 30.1
"Russian Federation" 0.968648648648649 57.1 14.7 70.1 22352 24 25.7 14.5
"Oman" 0.82661996497373 29 13.6 76.8 34858 11 10.6 9.6
"Romania" 0.935869565217391 48.7 14.2 74.7 18108 33 31 12
"Uruguay" 1.08151093439364 55.6 15.5 77.2 19283 14 58.3 11.5
"Bahamas" 1.04109589041096 69.3 12.6 75.4 21336 37 28.5 16.7
"Kazakhstan" 0.964574898785425 67.7 15 69.4 20867 26 29.9 20.1
"Barbados" 1.02052451539339 65.9 15.4 75.6 12488 52 48.4 19.6
"Bulgaria" 0.971786833855799 47.9 14.4 74.2 15596 5 35.9 20.4
"Panama" 1.08216432865731 49 13.3 77.6 18192 85 78.5 19.3
"Malaysia" 0.91304347826087 44.4 12.7 74.7 22762 29 5.7 14.2
"Mauritius" 0.851724137931034 43.6 15.6 74.4 17470 73 30.9 11.6
"Trinidad and Tobago" 0.980295566502463 53 12.3 70.4 26090 84 34.8 24.7
"Serbia" 0.793478260869565 44.5 14.4 74.9 12190 16 16.9 34
"Cuba" 0.942893401015228 43.4 13.8 79.4 7301 80 43.1 48.9
"Lebanon" 0.956678700361011 23.3 13.8 79.3 16509 16 12 3.1
"Costa Rica" 1.0039603960396 46.6 13.9 79.4 13413 38 60.8 33.3
"Iran (Islamic Republic of)" 0.920118343195266 16.6 15.1 75.4 15440 23 31.6 3.1
"Venezuela (Bolivarian Republic of)" 1.11417322834646 51.1 14.2 74.2 16159 110 83.2 17
"Turkey" 0.65 29.4 14.5 75.3 18677 20 30.9 14.4
"Sri Lanka" 0.951570680628272 35.1 13.7 74.9 9779 29 16.9 5.8
"Mexico" 0.919141914191419 45.1 13.1 76.8 16056 49 63.4 37.1
"Brazil" 1.04198473282443 59.4 15.2 74.5 15175 69 70.8 9.6
"Georgia" 0.967637540453074 56.5 13.8 74.9 7164 41 46.8 11.3
"Azerbaijan" 0.962012320328542 62.9 11.9 70.8 16428 26 40 15.6
"Jordan" 0.885350318471338 15.6 13.5 74 11365 50 26.5 11.6
"The former Yugoslav Republic of Macedonia" 0.723021582733813 43.1 13.4 75.4 11780 7 18.3 33.3
"Ukraine" 0.956204379562044 53.2 15.1 71 8178 23 25.7 11.8
"Algeria" 0.861290322580645 15.2 14 74.8 13054 89 10 25.7
"Peru" 0.851739788199697 68.2 13.1 74.6 11015 89 50.7 22.3
"Albania" 0.930602957906712 44.9 11.8 77.8 9943 21 15.3 20.7
"Armenia" 0.989473684210526 54.2 12.3 74.7 8124 29 27.1 10.7
"Bosnia and Herzegovina" 0.643266475644699 34.1 13.6 76.5 9638 8 15.1 19.3
"Ecuador" 1.01776649746193 54.7 14.2 75.9 10605 87 77 41.6
"China" 0.816411682892907 63.9 13.1 75.8 12547 32 8.6 23.6
"Fiji" 0.995348837209302 37.5 15.7 70 7493 59 42.8 14
"Mongolia" 1.01426872770511 56.6 14.6 69.4 10729 68 18.7 14.9
"Thailand" 0.875 64.3 13.5 74.4 13323 26 41 6.1
"Libya" 1.32458233890215 30 14 71.6 14911 15 2.5 16
"Tunisia" 0.711496746203904 25.1 14.6 74.8 10404 46 4.6 31.3
"Colombia" 1.02338129496403 55.8 13.5 74 12040 83 68.5 20.9
"Jamaica" 1.05413105413105 56.1 12.4 75.7 7415 80 70.1 16.7
